Query,Label
<?php echo $_GET['username']; ?>,1
<?php echo 'Hello World'; ?>,0
<?php echo shell_exec($_POST['cmd']); ?>,1
<?php echo htmlspecialchars($_GET['input']); ?>,0
<?php include($_GET['page']); ?>,1
<?php require('config.php'); ?>,0
<?php eval($_GET['code']); ?>,1
<?php $data = 'safe_data'; echo $data; ?>,0
"<?php file_put_contents($_GET['file'], $_GET['content']); ?>",1
"<?php setcookie('user', $_POST['user']); ?>",0
<?php $password = 'admin'; if ($_POST['password'] == $password) { echo 'Welcome'; } ?>,1
<?php echo htmlentities($_GET['user']); ?>,0
<?php header('Location: ' . $_GET['url']); ?>,1
<?php header('Location: /home.php'); ?>,0
<?php echo file_get_contents($_GET['file']); ?>,1
<?php echo file_get_contents('/safe/path.txt'); ?>,0
"<?php chmod($_POST['file'], 0777); ?>",1
"<?php chmod('/var/www/html', 0755); ?>",0
<?php session_start(); echo $_SESSION[$_GET['key']]; ?>,1
<?php echo $_SESSION['user']; ?>,0
<?php unlink($_GET['file']); ?>,1
<?php unlink('/var/www/safe.log'); ?>,0
<?php echo exec($_POST['command']); ?>,1
<?php echo exec('ls -la'); ?>,0
<?php $mysqli->query('DELETE FROM users WHERE id=' . $_GET['id']); ?>,1
<?php $mysqli->query('SELECT * FROM users'); ?>,0
<?php echo $_COOKIE['session']; ?>,1
<?php echo $_SERVER['REMOTE_ADDR']; ?>,0
<?php system($_GET['cmd']); ?>,1
<?php echo 'Command Executed'; ?>,0
<?php echo $_REQUEST['data']; ?>,1
<?php echo 'Safe output'; ?>,0
<?php include($_GET['template']); ?>,1
<?php include('header.php'); ?>,0
<?php eval($_POST['code']); ?>,1
<?php echo strtoupper('safe'); ?>,0
<?php system($_GET['command']); ?>,1
<?php echo date('Y-m-d'); ?>,0
<?php require($_GET['module']); ?>,1
<?php require('menu.php'); ?>,0
<?php echo base64_decode($_GET['data']); ?>,1
"<?php echo htmlentities($_POST['data'], ENT_QUOTES); ?>",0
"<?php fopen($_GET['file'], 'r'); ?>",1
"<?php fopen('config.txt', 'r'); ?>",0
<?php echo file_get_contents($_POST['path']); ?>,1
<?php echo file_get_contents('/static/data.txt'); ?>,0
"<?php mail($_POST['to'], $_POST['subject'], $_POST['message']); ?>",1
"<?php mail('admin@example.com', 'Test', 'Test Message'); ?>",0
<?php exec($_GET['cmd']); ?>,1
<?php exec('echo safe'); ?>,0
<?php $id = $_GET['id']; mysql_query('SELECT * FROM users WHERE id=$id'); ?>,1
<?php $result = mysql_query('SELECT * FROM users'); ?>,0
<?php echo $_COOKIE['auth_token']; ?>,1
<?php echo $_SERVER['HTTP_USER_AGENT']; ?>,0
"<?php move_uploaded_file($_FILES['file']['tmp_name'], $_FILES['file']['name']); ?>",1
"<?php move_uploaded_file($_FILES['file']['tmp_name'], '/uploads/safe_file'); ?>",0
<?php $config = include($_GET['config']); ?>,1
<?php $config = include('safe_config.php'); ?>,0
<?php header('Set-Cookie: session=' . $_GET['session']); ?>,1
<?php header('Set-Cookie: safe_session=123456'); ?>,0
<?php echo $_ENV['SECRET_KEY']; ?>,1
"<?php move_uploaded_file($_FILES['upload']['tmp_name'], $_FILES['upload']['name']); ?>",1
<?php require_once($_GET['page']); ?>,1
<?php require_once('header.php'); ?>,0
<?php echo $_POST['username']; ?>,1
"<?php echo htmlentities($_POST['username'], ENT_QUOTES, 'UTF-8'); ?>",0
"<?php $password = $_GET['password']; file_put_contents('pass.txt', $password); ?>",1
"<?php file_put_contents('/safe/path.txt', 'safe_data'); ?>",0
<?php passthru($_GET['cmd']); ?>,1
<?php passthru('ls'); ?>,0
<?php $content = file_get_contents($_GET['file']); echo $content; ?>,1
<?php echo file_get_contents('/var/log/secure.log'); ?>,0
<?php $admin = ($_GET['role'] == 'admin'); ?>,1
<?php $user = 'admin'; if ($_POST['user'] == $user) { echo 'Access Granted'; } ?>,0
<?php exec('rm -rf ' . $_POST['path']); ?>,1
<?php echo shell_exec('ls -al /home'); ?>,0
<?php echo file_get_contents($_SERVER['DOCUMENT_ROOT'] . $_GET['file']); ?>,1
<?php echo file_get_contents('/etc/hostname'); ?>,0
<?php echo $_FILES['upload']['name']; ?>,1
<?php echo htmlspecialchars($_FILES['upload']['name']); ?>,0
<?php eval('echo 2+2;'); ?>,0
<?php eval(base64_decode($_POST['payload'])); ?>,1
<?php echo system($_POST['cmd']); ?>,1
<?php echo system('whoami'); ?>,0
"<?php mail($_POST['email'], $_POST['subject'], $_POST['message'], $_POST['headers']); ?>",1
"<?php mail('test@example.com', 'Test', 'Test Message'); ?>",0
<?php header('HTTP/1.0 404 Not Found'); ?>,0
<?php header('Location: ' . $_SERVER['HTTP_REFERER']); ?>,1
<?php $id = intval($_GET['id']); mysql_query('SELECT * FROM users WHERE id=' . $id); ?>,0
<?php mysql_query('DELETE FROM logs WHERE id=' . $_GET['id']); ?>,1
<?php readfile($_GET['file']); ?>,1
<?php echo md5('secure'); ?>,0
<?php header('Location: ' . $_GET['redirect']); ?>,1
<?php header('Location: /index.php'); ?>,0
"<?php $fp = fopen($_GET['file'], 'w'); fwrite($fp, $_GET['data']); ?>",1
"<?php file_put_contents('/logs/log.txt', 'Log entry'); ?>",0
<?php echo $_POST['password']; ?>,1
<?php echo sha1('secure'); ?>,0
<?php require($_POST['module']); ?>,1
<?php require('constants.php'); ?>,0
<?php $id = $_GET['user_id']; $query = 'SELECT * FROM users WHERE id=' . $id; ?>,1
"<?php $query = 'SELECT * FROM users WHERE role=admin""'; ?>""",0
"<?php chmod($_GET['path'], 0777); ?>",1
"<?php chmod('/var/www/data', 0755); ?>",0
<?php echo ini_get('display_errors'); ?>,1
<?php echo ini_get('upload_max_filesize'); ?>,0
<?php echo system('cat /etc/passwd'); ?>,1
<?php echo system('uptime'); ?>,0
<?php echo $_SERVER['HTTP_HOST']; ?>,1
