Query,Label
"""import osnos.system(f""rm -rf {input('Silinecek dosya: ')}"")""", 1
"""user_input = input(""Mesaj: "")nprint(user_input % {""key"": ""değer""})""", 1
"""import sqlite3nconn = sqlite3.connect('veritabanı.db')ncursor = conn.cursor()nusername = input(""Kullanıcı adı: "")nquery = f""SELECT * FROM users WHERE username = '{username}'""ncursor.execute(query)""", 1
"""user_input = input(""Kod girin: "")neval(user_input)""", 1
"""import picklendata = input(""Pickle verisi girin: "")npickle.loads(data)""", 1
"""if input(""Parola: "") == ""1234"":n    print(""Giriş başarılı!"")""", 1
"""username = input(""Kullanıcı adı: "")npassword = input(""Parola: "")nif username == 'admin' and password == 'admin':n    print(""Giriş başarılı!"")""", 1
"""import urllib.requestnurl = input(""URL: "")nresponse = urllib.request.urlopen(url)nprint(response.read())""", 1
"""import xml.etree.ElementTree as ETnxml_data = input(""XML verisi: "")ntree = ET.fromstring(xml_data)""", 1
"""import hashlibnpassword = input(""Parola: "")nhash_value = hashlib.md5(password.encode()).hexdigest()nprint(hash_value)""", 1
"""from cryptography.fernet import Fernetnkey = Fernet.generate_key()ncipher_suite = Fernet(key)ncipher_text = cipher_suite.encrypt(input(""Veri: "").encode())nprint(cipher_text)""", 1
"""import tempfilentemp_file = tempfile.NamedTemporaryFile(delete=False)nuser_data = input(""Veri girin: "")ntemp_file.write(user_data.encode())ntemp_file.close()""", 1
"""import osnfilename = input(""Dosya adı: "")nif os.path.exists(filename):n    os.remove(filename)""", 1
"""import jsonnjson_data = input(""JSON verisi: "")ndata = json.loads(json_data)nprint(data)""", 1
"""import osnusername = input(""Kullanıcı adı: "")nos.system(f'echo ""{username}"" > log.txt')""", 1
"""import shutilndirectory = input(""Dizin: "")nshutil.rmtree(directory)""", 1
"""import osnpassword = input(""Parola: "")nos.system(f'echo {password} >> passwords.txt')""", 1
"""import requestsnapi_url = input(""API URL: "")nresponse = requests.get(api_url)nprint(response.json())""", 1
"""import sqlite3nconn = sqlite3.connect('database.db')nquery = input(""SQL sorgusu: "")nconn.execute(query)nconn.commit()""", 1
"""import xml.etree.ElementTree as ETnxml_data = input(""XML verisi: "")ntree = ET.parse(xml_data)nroot = tree.getroot()nprint(root.tag)""", 1
"""import picklenuser_data = input(""Veri girin: "")nloaded_data = pickle.loads(user_data)nprint(loaded_data)""", 1
"""import osnfile_path = input(""Dosya yolu: "")nos.remove(file_path)""", 1
"""import sqlite3nconn = sqlite3.connect(':memory:')nquery = input(""SQL Sorgusu: "")nconn.execute(query)""", 1
"""import xml.dom.minidomnxml_data = input(""XML verisi: "")ndom = xml.dom.minidom.parseString(xml_data)nprint(dom.firstChild.nodeName)""", 1
"""import jsonnjson_data = input(""JSON verisi: "")ndata = json.loads(json_data)nprint(data['key'])""", 1
"""import requestsnurl = input(""API URL: "")nresponse = requests.get(url)nprint(response.status_code)""", 1
"""import yamlndata = input(""YAML verisi: "")nyaml_data = yaml.safe_load(data)nprint(yaml_data)""", 1
"""import osnos.system(f'mkdir {input(""Klasör adı: "")}')""", 1
